LIPID,CLASS,CHAINS,OTHER,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT,Area_SPL,SB_ratio,Conc_SPL,CV_TQC,CV_BQC,CV_SPL,D_ratio,r.squared_1,r.squared_2,p.value_1,p.value_2
CE 14:0,CE,14:0,NA,CE 14:0,TRUE,614.6,369.3,7.133333333,287.907099,4.893891909553227,0.9640252153262121,60.63786317378178,100.16965405135889,109.55787704479532,0.9458429968741636,0.3822034157631495,0.13868955538333969,0.19080501408880568,0.4672090215964177
CE 15:0,CE,15:0,NA,CE 15:0,TRUE,628.6,369.3,7.216666667,195.4193714,0.7724051233328176,1.1305517046721032,98.93338105730386,53.15329252494999,93.8057747586662,0.397936606632137,0.3197490582576557,0.3374085609155111,0.24220785601974043,0.2266918551192954
CE 16:0,CE,16:0,NA,CE 16:0,TRUE,642.6,369.3,7.3,26486.18525,53.126415791477264,1.3832958099647858,131.76243775782072,26.6559906600344,60.44216498525654,0.284586061663763,0.4935513509332954,0.2234327408184026,0.11956968404708915,0.3437767565429005
CE 16:1,CE,16:1,NA,CE 16:1,TRUE,640.6,369.3,7.15,8077.930865,15.979138833375094,0.8563395255996421,22.07934859661588,11.564568697631229,43.978385691305625,0.28406064040866913,0.8691507549773569,0.9201845288968169,0.006723214982198094,0.002455513961079807
CE 16:2,CE,16:2,NA,CE 16:2,TRUE,638.6,369.3,6.983333333,230.1523941,5.59998684703176,1.0977244022392125,60.216453170673475,62.825972740043866,80.72254840301302,0.6477163734305035,0.023890011153860028,0.03185237730688362,0.7700003590241293,0.735133869325796
CE 17:0,CE,17:0,NA,CE 17:0,TRUE,656.6,369.3,7.366666667,999.3312776,21.909598558400553,1.0927117674240479,59.55835484421497,18.450320301222202,56.17077205697978,0.2649443290447492,0.6463911152643851,0.29634903309069266,0.05386744024502743,0.26409392783357727
CE 17:1,CE,17:1,NA,CE 17:1,TRUE,654.6,369.3,7.216666667,1626.450259,18.915153442159394,0.8892560363791939,30.30282197623938,15.21347652987728,40.93666681788405,0.41163679153165555,0.14753437829742316,3.895889260462921e-5,0.45218106567368394,0.9906375627274608
CE 18:0,CE,18:0,NA,CE 18:0,TRUE,670.7,369.3,7.45,16010.51287,53.19887658835893,0.9397664649929116,34.686372729195156,15.38247855504962,33.22795137072984,0.4557715973506565,0.9858841426326198,0.9531402434324177,7.50759403357684e-5,8.366508340532231e-4
CE 18:1,CE,18:1,NA,CE 18:1,TRUE,668.6,369.3,7.3,1131056.637,695.0114310504027,0.8602593981854034,19.09080439322794,6.601607924401163,25.95271610260127,0.28498511077285377,0.917192913736294,0.975521907649893,0.0026458565180819947,2.2655037820768327e-4
CE 18:1 d7 (ISTD),CE,18:1,d7,CE 18:1,TRUE,675.7,369.1,7.3,303786.9922,0.5787262768492623,1,8.780817806335822e-14,1.5777887055269799e-13,1.2211111051295047e-13,1.2920926678163722,0.9838599850672183,0.9718865595997096,9.821791354242133e-5,2.992093240693308e-4
CE 18:2,CE,18:2,NA,CE 18:2,TRUE,666.6,369.3,7.183333333,4360293.007,229.33589759809877,0.8822694448706658,15.620155461056997,6.715580565059634,27.44910405312291,0.27402645837998985,0.9372361247889786,0.9854153086678809,0.0015092837288327623,8.015846524400177e-5
CE 18:3,CE,18:3,NA,CE 18:3,TRUE,664.6,369.3,7.05,53723.61379,51.405039414359834,0.8869817946656045,18.621759399546228,10.755118111338295,48.94450878418407,0.22716159451311227,0.178154436473386,0.008651466392570084,0.40447284841806735,0.8608824616982833
CE 20:1,CE,20:1,NA,CE 20:1,TRUE,696.7,369.3,7.433333333,2286.501721,26.67896096592374,0.7903100121359246,28.98659485812417,12.723131790242908,41.92715672582822,0.36530291017491223,0.9767992093610177,0.8823598852723005,2.0343550594325733e-4,0.005407826601073118
CE 20:2,CE,20:2,NA,CE 20:2,TRUE,694.7,369.3,7.316666667,11924.35728,126.71662605574063,0.8633982604497145,20.33646130408856,9.979799551936276,27.839458147010948,0.40937091491252875,0.9707714299621918,0.975614851081208,3.235396087845849e-4,2.2482611567829213e-4
CE 20:3,CE,20:3,NA,CE 20:3,TRUE,692.6,369.3,7.183333333,197069.5178,267.84023229455966,0.8418490194338812,18.749006111704034,9.930426971666648,38.7528325399604,0.2961498477730055,0.9140382753735492,0.9778649522470957,0.0028545067827599113,1.851079215427288e-4
CE 20:4,CE,20:4,NA,CE 20:4,TRUE,690.6,369.3,7.083333333,1342663.666,128.18751283941293,0.8748153641302434,18.672140846450848,11.122980822570918,38.1066112130896,0.31783679351737737,0.5082161561079502,0.6911632044791352,0.11181260894126437,0.040260113847132184
CE 20:5,CE,20:5,NA,CE 20:5,TRUE,688.6,369.3,6.933333333,382386.6783,246.78055458291473,0.7029539170585677,22.473128406535885,9.306434017569314,75.20537637160515,0.135922096210128,0.9005831773504611,0.707996402065178,0.003836574701104357,0.03572518335732313
CE 22:0,CE,22:0,NA,CE 22:0,TRUE,726.7,369.3,7.7,144.9387382,2.3886139772871653,0.8472472921166464,59.9714214994511,37.32539091336594,80.48509893844184,0.48256197249702365,0.45297181977842726,0.0022095020069985848,0.14288450450078,0.9295439189018443
CE 22:1,CE,22:1,NA,CE 22:1,TRUE,724.7,369.3,7.583333333,468.829904,7.271085451643864,0.7474606109344103,38.01484723852087,21.33121367576963,67.6544682943774,0.3517811994577709,0.910769308646397,0.6719800779173641,0.0030793429237432756,0.04580992330299534
CE 22:4,CE,22:4,NA,CE 22:4,TRUE,718.7,369.3,7.216666667,10944.66104,60.633754591707536,0.8303329606816797,20.297268040157952,9.308922163069255,35.915893936172765,0.2939652334961106,0.5848050709401024,0.9768799255784674,0.07651944046413135,2.0201691522234337e-4
CE 22:5,CE,22:5,NA,CE 22:5,TRUE,716.6,369.3,7.083333333,53344.16472,95.17074214545578,0.8550562007028238,18.817571770597713,10.917027017772183,44.01712912936577,0.26355994308914027,0.817241809257922,0.9540488586068577,0.01337771843603584,8.042669677868902e-4
